method,data_model,display_mode,phase,lifecycle_stage,sub_method,metric,value_low,value_high,unit,basis,source_key,confidence_min,confidence_max,selected_material,notes,metadata
prefab,lifecycle_based,prefab_lifecycle_card,,A1-A3,modular_concrete,embodied_carbon,280,569,kg CO2eq,per_m2_gfa,wei-2024,0.55,0.72,modular_concrete_prefab,High-rise concrete MiC structural+envelope; Hong Kong typology transferable to EU with caveat; no biogenic relevance,"{""extra_fields"": {""sub_method"": ""modular_concrete""}, ""primary"": true, ""raw_source"": ""Wei 2024; Pan & Hon 2012"", ""raw_unit"": ""kg CO2eq / m2 GFA"", ""source_keys"": [""wei-2024"", ""pan-hon-2012""], ""source_tier"": ""1""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A1-A3,modular_concrete,embodied_carbon_spread,105,864,kg CO2eq,per_m2_gfa,wei-2024,0.55,0.72,modular_concrete_prefab,Full literature spread for concrete-modular cases; structural choice + module size dominate variance,"{""extra_fields"": {""sub_method"": ""modular_concrete""}, ""primary"": true, ""raw_source"": ""Wei 2024"", ""raw_unit"": ""kg CO2eq / m2 GFA"", ""source_keys"": [""wei-2024""], ""source_tier"": ""1""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A1-A3,clt,embodied_carbon_with_biogenic,130,220,kg CO2eq,per_m2_gfa,andersen-2022,0.55,0.72,timber_clt_prefab,CLT mid-rise residential with EN 15804+A2 GWP-bio applied; carbon storage credited; A1-A3 only,"{""extra_fields"": {""sub_method"": ""clt""}, ""primary"": true, ""raw_source"": ""Andersen 2022; Hemmati 2024; Stora Enso EPD"", ""raw_unit"": ""kg CO2eq / m2 GFA"", ""source_keys"": [""andersen-2022"", ""hemmati-2024"", ""stora-enso-epd""], ""source_tier"": ""1""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A1-A3,clt,embodied_carbon_no_biogenic,220,350,kg CO2eq,per_m2_gfa,andersen-2022,0.55,0.72,timber_clt_prefab,Same buildings with biogenic credit stripped; fossil-only A1-A3; the methodology-wobble swing - ~30% difference,"{""extra_fields"": {""sub_method"": ""clt""}, ""primary"": true, ""raw_source"": ""Andersen 2022; Liu 2021"", ""raw_unit"": ""kg CO2eq / m2 GFA"", ""source_keys"": [""andersen-2022"", ""liu-2021""], ""source_tier"": ""1""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A1-A3,clt,clt_panel_gwp_fossil,50,75,kg CO2eq,per_m3,klh-epd,0.55,0.72,timber_clt_prefab,Per m3 CLT A1-A3 GWP-fossil only Austrian production; KLH/Stora Enso/Binderholz triangulated,"{""extra_fields"": {""sub_method"": ""clt""}, ""primary"": true, ""raw_source"": ""KLH EPD; Stora Enso EPD; Binderholz EPD"", ""raw_unit"": ""kg CO2eq / m3 panel"", ""source_keys"": [""klh-epd"", ""stora-enso-epd"", ""binderholz-epd""], ""source_tier"": ""1""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A1-A3,clt,clt_panel_biogenic_storage,-762,-700,kg CO2eq,per_m3,stora-enso-epd,0.55,0.72,timber_clt_prefab,Biogenic carbon stored in panel; sign reverses at EoL if incinerated - stays negative if reused or landfilled,"{""extra_fields"": {""sub_method"": ""clt""}, ""primary"": true, ""raw_source"": ""Stora Enso EPD; KLH EPD"", ""raw_unit"": ""kg CO2eq / m3 panel"", ""source_keys"": [""stora-enso-epd"", ""klh-epd""], ""source_tier"": ""1""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A1-A3,modular_concrete,material_origin,null,null,label,qualitative_label,moodul-vendor,0.55,0.72,modular_concrete_prefab,Modular concrete: Hong Kong/UK/NL dominate literature; Spain has emerging fabricators (Moodul Castelldefels; Modular Home Valencia) but no published EPDs. GEOGRAPHIC GAP.,"{""extra_fields"": {""sub_method"": ""modular_concrete""}, ""primary"": false, ""raw_source"": ""Moodul (vendor)"", ""raw_unit"": ""qualitative"", ""source_keys"": [""moodul-vendor""], ""source_tier"": ""3""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A1-A3,clt,material_origin,null,null,label,qualitative_label,klh-epd,0.55,0.72,timber_clt_prefab,CLT: Austria (KLH Stora Enso Binderholz) Sweden (Stora Enso Martinsons) Czech Republic. No Iberian CLT mill at scale as of 2026. Barcelona A4 distance ~1800-2200km road.,"{""extra_fields"": {""sub_method"": ""clt""}, ""primary"": true, ""raw_source"": ""KLH EPD; Stora Enso EPD"", ""raw_unit"": ""qualitative"", ""source_keys"": [""klh-epd"", ""stora-enso-epd""], ""source_tier"": ""1""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A1-A3,modular_concrete,cost,600,1200,EUR,eur_per_m2,moodul-vendor,0.55,0.72,modular_concrete_prefab,Material-stage shell only modular concrete; Spain reference; excludes land permits foundations,"{""extra_fields"": {""sub_method"": ""modular_concrete""}, ""primary"": false, ""raw_source"": ""Moodul (vendor)"", ""raw_unit"": ""EUR / m2"", ""source_keys"": [""moodul-vendor""], ""source_tier"": ""3""}"
prefab,lifecycle_based,prefab_lifecycle_card,,A1-A3,clt,cost,700,1100,EUR,eur_per_m2,stora-enso-epd,0.55,0.72,timber_clt_prefab,CLT panel material cost only ex-works Austrian mill before transport; EUR350-550/m3 * ~2m3/m2 GFA equivalent,"{""extra_fields"": {""sub_method"": ""clt""}, ""primary"": false, ""raw_source"": ""Stora Enso EPD; vendor sibling"", ""raw_unit"": ""EUR / m2"", ""source_keys"": [""stora-enso-epd"", ""engineering-judgement-import""], ""source_tier"": ""2""}"
