phase,parameter,value_low,value_high,unit,allocation_rule,assumption,source,source_tier
foundation,co2_kg_per_m2,NA,NA,kg CO2eq / m2 GFA,NA,Reclaimed brick not used for foundations (load + moisture); foundation is conventional RC; carbon attributable to brick reuse here = zero. Defer to masonry strand.,NA,missing
foundation,labor_hours_per_m2,NA,NA,h / m2,NA,Same as above,NA,missing
foundation,time_days,NA,NA,calendar days,NA,Same as above,NA,missing
foundation,cost_eur_per_m2,NA,NA,EUR / m2,NA,Same as above,NA,missing
foundation,material_origin,conventional RC strip/pad foundation,conventional RC strip/pad foundation,qualitative,NA,Reclaimed brick literature does not address foundations; treated as out-of-scope for this strand,Devenes 2022 (analogous scoping),1
structure,co2_kg_per_m2,8,25,kg CO2eq / m2 GFA,cut-off,Brick wall ~350 kg/m2 for 20cm load-bearing wall; reclaimed-brick A1-A3 = 20.4 kg CO2eq/t (RBC EPD); cut-off allocates production burden to first life so second-life upstream burden = 0; only processing (138 kWh/t cleaning + transport <=50km) counts; new-mortar ~5-10 kg CO2eq/m2; range reflects yield 70-85% and transport 0-50km. DEFAULT - use this row for projection.,RBC EPD 2024 + Salmio & Huuhka 2026,1
structure,co2_kg_per_m2,18,45,kg CO2eq / m2 GFA,avoided-burden,Same wall avoided-burden method: second life credited the avoided new-brick production (~250-350 kg CO2eq/t * ~70% credit share) but bears partial deconstruction burden; RBC EPD reports A-C total = -3.18 kg CO2eq/t under avoided-burden (net negative at full lifecycle); A1-A3 equivalent here is positive but lower than system-expansion,RBC EPD 2024 + De Wolf 2020,1
structure,co2_kg_per_m2,35,70,kg CO2eq / m2 GFA,system-expansion (50-50),Splits production burden equally between two service lives: ~125-175 kg CO2eq/t allocated to second life; with 350 kg/m2 wall mass = 44-61 kg CO2eq/m2 + mortar + transport. THIS ROW EXISTS TO SHOW THE 5x SWING - methodology wobble the installation must own. Not the default.,De Wolf 2020 + Salmio & Huuhka 2026,1
structure,labor_hours_per_m2,2.5,6.5,h / m2,-,Reclaimed-brick laying: cleaning + sorting ~4 labour-h/tonne (Salmio & Huuhka 2026); 350 kg/m2 wall = 1.4h cleaning; plus laying 1.5-4 h/m2 for hand-fitted variable-dimension brick vs 0.8-1.2 h/m2 for new uniform brick (BEDEC baseline) - 2-4x the labour of new brick,Salmio & Huuhka 2026 + BEDEC 2026 (proxy),1
structure,time_days,14,35,calendar days,-,For ~100m2 GFA single-storey reference building; structural reclaimed-brick walls take 2-5 weeks; stock-matching design step (Brutting 2020) adds upfront design days not counted in laying,Brutting 2020 + IAAC Mat Mining,1
structure,cost_eur_per_m2,95,220,EUR / m2,-,Reclaimed-brick price proxy: UK/DE wholesale EUR0.50-1.50/brick * ~50 bricks/m2 = EUR25-75 material; labour EUR25-35/h * 3-6h = EUR75-210; mortar + sundries EUR15-25; CATALONIA DATA ABSENT - EU proxy; lower than new-brick in some cases due to free upstream brick; higher when stock-matching design fees included,Restado 2026 + Concular 2026 (cost proxy),2
structure,material_origin,demolition site within 50km (local urban mining),demolition site within 480km (long-distance reclaim),km radius,-,Salmio & Huuhka 2026 sensitivity: T1 hand-held remains net-beneficial up to 480km; T2 excavator up to 315km; Re:Crete used regional sourcing <30km; K.118 Basel-Zurich ~100-150km; Catalonia: no operational hub - sourcing is currently ad-hoc demolition-site negotiation,Salmio & Huuhka 2026 + Devenes 2022 + K.118,1
roof,co2_kg_per_m2,NA,NA,kg CO2eq / m2 GFA,NA,Reclaimed brick is NOT a roof material; K.118 used reused steel for roof structure - separate sub-category not assessed in this strand,NA,missing
