method,data_model,display_mode,phase,lifecycle_stage,sub_method,metric,value_low,value_high,unit,basis,source_key,confidence_min,confidence_max,selected_material,notes,metadata
masonry,phase_based,construction_phase_view,foundation,,,co2_kg_per_m2,70,130,kg CO2eq,per_m2_gfa,izaola-2023,0.85,0.95,fired_clay_brick,RC strip foundation ~0.35m3 concrete + ~25kg rebar per m2 GFA; A1-A3 only; CEM I upper bound CEM II/B-M lower bound,"{""primary"": true, ""raw_source"": ""izaola-2023; mateus-2023"", ""raw_unit"": ""kg CO2eq / m2 GFA"", ""source_keys"": [""izaola-2023"", ""mateus-2023""], ""source_tier"": ""1""}"
masonry,phase_based,construction_phase_view,foundation,,,labor_hours_per_m2,1.5,3.0,hours,hours_per_m2_gfa,cype-spain-fef010,0.85,0.95,fired_clay_brick,Excavation + steel placement + pour + cure for shallow strip foundation; range from CYPE neighbouring lines + Spanish bricklayer defaults,"{""primary"": true, ""raw_source"": ""cype-spain-fef010"", ""raw_unit"": ""h / m2 GFA"", ""source_keys"": [""cype-spain-fef010""], ""source_tier"": ""2""}"
masonry,phase_based,construction_phase_view,foundation,,,time_days,7,14,days,calendar_days,unknown_import,0.85,0.95,fired_clay_brick,Strip foundation cure time governs; single-family detached site normal weather EHE-08 minimum cure,"{""primary"": true, ""raw_source"": null, ""raw_unit"": ""calendar days"", ""source_keys"": [""unknown_import""], ""source_tier"": null}"
masonry,phase_based,construction_phase_view,foundation,,,cost_eur_per_m2,50,110,EUR,eur_per_m2_gfa,cype-spain-fef010,0.85,0.95,fired_clay_brick,Spanish 2025-2026 vintage from CYPE-adjacent items; widened because CYPE foundation URL returned 403 at fetch,"{""primary"": true, ""raw_source"": ""cype-spain-fef010"", ""raw_unit"": ""EUR / m2 GFA"", ""source_keys"": [""cype-spain-fef010""], ""source_tier"": ""2""}"
masonry,phase_based,construction_phase_view,foundation,,,material_origin,null,null,label,qualitative_label,bedec-2026,0.85,0.95,fired_clay_brick,Catalan/Spanish RC: cement (Catalan kilns dominant) aggregates (Catalan quarries <50km) rebar (Spanish recycled-content steel Catalan+Basque mills); concrete A4 transport typically <30km,"{""primary"": true, ""raw_source"": ""bedec-2026"", ""raw_unit"": ""qualitative"", ""source_keys"": [""bedec-2026""], ""source_tier"": ""1""}"
masonry,phase_based,construction_phase_view,structure,,,co2_kg_per_m2,32,75,kg CO2eq,per_m2_wall,hispalyt-008-017,0.85,0.95,fired_clay_brick,Single-leaf perforated clay brick 24cm; Hispalyt 008-017 GWP A1-A3 = 209 kg CO2eq/tonne x ~140 kg/m2 wall; lower = lime-rich M-2.5 mortar; upper = double-leaf cavity wall,"{""primary"": true, ""raw_source"": ""hispalyt-008-017; hispalyt-008-016; mateus-2023"", ""raw_unit"": ""kg CO2eq / m2 wall"", ""source_keys"": [""hispalyt-008-017"", ""hispalyt-008-016"", ""mateus-2023""], ""source_tier"": ""1""}"
masonry,phase_based,construction_phase_view,structure,,,labor_hours_per_m2,0.7,1.5,hours,hours_per_m2_wall,cype-spain-fef010,0.85,0.95,fired_clay_brick,CYPE FEF010 load-bearing perforated brick: 0.99 h/m2; CYPE FFZ010 exterior facing leaf: 0.685 h/m2; range covers single-leaf vs double-leaf,"{""primary"": true, ""raw_source"": ""cype-spain-fef010; cype-spain-ffz010"", ""raw_unit"": ""h / m2 wall"", ""source_keys"": [""cype-spain-fef010"", ""cype-spain-ffz010""], ""source_tier"": ""1""}"
masonry,phase_based,construction_phase_view,structure,,,time_days,10,25,days,calendar_days,unknown_import,0.85,0.95,fired_clay_brick,Two-storey unifamiliar shell 2 masons + 1 helper crew 80-100 m2 wall/day; not verified from primary source,"{""primary"": true, ""raw_source"": null, ""raw_unit"": ""calendar days"", ""source_keys"": [""unknown_import""], ""source_tier"": null}"
masonry,phase_based,construction_phase_view,structure,,,cost_eur_per_m2,20,35,EUR,eur_per_m2_wall,cype-spain-fef010,0.85,0.95,fired_clay_brick,CYPE FEF010 = EUR25.73/m2 load-bearing perforated brick; CYPE FFZ010 = EUR20.13/m2 non-structural facing leaf,"{""primary"": true, ""raw_source"": ""cype-spain-fef010; cype-spain-ffz010"", ""raw_unit"": ""EUR / m2 wall"", ""source_keys"": [""cype-spain-fef010"", ""cype-spain-ffz010""], ""source_tier"": ""1""}"
masonry,phase_based,construction_phase_view,structure,,,material_origin,null,null,label,qualitative_label,hispalyt-008-016,0.85,0.95,fired_clay_brick,Catalan kilns: clay from local Catalan/Aragon quarries; Hispalyt EPD A4 = 87km block / 296km facing brick (national avg - Catalan project closer to 87km),"{""primary"": true, ""raw_source"": ""hispalyt-008-016; hispalyt-008-017"", ""raw_unit"": ""qualitative"", ""source_keys"": [""hispalyt-008-016"", ""hispalyt-008-017""], ""source_tier"": ""1""}"
