method,data_model,display_mode,phase,lifecycle_stage,sub_method,metric,value_low,value_high,unit,basis,source_key,confidence_min,confidence_max,selected_material,notes,metadata
reclaimed_brick,overlay,construction_phase_view,foundation,,,co2_kg_per_m2,null,null,kg CO2eq,per_m2_gfa,unknown_import,0.5,0.68,reclaimed_fired_clay_brick,Reclaimed brick not used for foundations (load + moisture); foundation is conventional RC; carbon attributable to brick reuse here = zero. Defer to masonry strand.,"{""base_method"": ""masonry"", ""primary"": false, ""raw_source"": null, ""raw_unit"": ""kg CO2eq / m2 GFA"", ""source_keys"": [""unknown_import""], ""source_tier"": ""missing""}"
reclaimed_brick,overlay,construction_phase_view,foundation,,,labor_hours_per_m2,null,null,hours,hours_per_m2,unknown_import,0.5,0.68,reclaimed_fired_clay_brick,Same as above,"{""base_method"": ""masonry"", ""primary"": true, ""raw_source"": null, ""raw_unit"": ""h / m2"", ""source_keys"": [""unknown_import""], ""source_tier"": ""missing""}"
reclaimed_brick,overlay,construction_phase_view,foundation,,,time_days,null,null,days,calendar_days,unknown_import,0.5,0.68,reclaimed_fired_clay_brick,Same as above,"{""base_method"": ""masonry"", ""primary"": true, ""raw_source"": null, ""raw_unit"": ""calendar days"", ""source_keys"": [""unknown_import""], ""source_tier"": ""missing""}"
reclaimed_brick,overlay,construction_phase_view,foundation,,,cost_eur_per_m2,null,null,EUR,eur_per_m2,unknown_import,0.5,0.68,reclaimed_fired_clay_brick,Same as above,"{""base_method"": ""masonry"", ""primary"": true, ""raw_source"": null, ""raw_unit"": ""EUR / m2"", ""source_keys"": [""unknown_import""], ""source_tier"": ""missing""}"
reclaimed_brick,overlay,construction_phase_view,foundation,,,material_origin,conventional RC strip/pad foundation,conventional RC strip/pad foundation,label,qualitative_label,devenes-2022-analogous-scoping,0.5,0.68,reclaimed_fired_clay_brick,Reclaimed brick literature does not address foundations; treated as out-of-scope for this strand,"{""base_method"": ""masonry"", ""primary"": true, ""raw_source"": ""Devenes 2022 (analogous scoping)"", ""raw_unit"": ""qualitative"", ""source_keys"": [""devenes-2022-analogous-scoping""], ""source_tier"": ""1""}"
reclaimed_brick,overlay,construction_phase_view,structure,,,co2_kg_per_m2,8,25,kg CO2eq,per_m2_gfa,rbc-epd-2024,0.5,0.68,reclaimed_fired_clay_brick,Brick wall ~350 kg/m2 for 20cm load-bearing wall; reclaimed-brick A1-A3 = 20.4 kg CO2eq/t (RBC EPD); cut-off allocates production burden to first life so second-life upstream burden = 0; only processing (138 kWh/t cleaning + transport <=50km) counts; new-mortar ~5-10 kg CO2eq/m2; range reflects yield 70-85% and transport 0-50km. DEFAULT - use this row for projection.,"{""base_method"": ""masonry"", ""extra_fields"": {""allocation_rule"": ""cut-off""}, ""primary"": true, ""raw_source"": ""RBC EPD 2024 + Salmio & Huuhka 2026"", ""raw_unit"": ""kg CO2eq / m2 GFA"", ""source_keys"": [""rbc-epd-2024"", ""salmio-huuhka-2026""], ""source_tier"": ""1"", ""variant"": ""cut-off""}"
reclaimed_brick,overlay,construction_phase_view,structure,,,co2_kg_per_m2,18,45,kg CO2eq,per_m2_gfa,rbc-epd-2024,0.5,0.68,reclaimed_fired_clay_brick,Same wall avoided-burden method: second life credited the avoided new-brick production (~250-350 kg CO2eq/t * ~70% credit share) but bears partial deconstruction burden; RBC EPD reports A-C total = -3.18 kg CO2eq/t under avoided-burden (net negative at full lifecycle); A1-A3 equivalent here is positive but lower than system-expansion,"{""base_method"": ""masonry"", ""extra_fields"": {""allocation_rule"": ""avoided-burden""}, ""primary"": false, ""raw_source"": ""RBC EPD 2024 + De Wolf 2020"", ""raw_unit"": ""kg CO2eq / m2 GFA"", ""source_keys"": [""rbc-epd-2024"", ""de-wolf-2020""], ""source_tier"": ""1"", ""variant"": ""avoided-burden""}"
reclaimed_brick,overlay,construction_phase_view,structure,,,co2_kg_per_m2,35,70,kg CO2eq,per_m2_gfa,de-wolf-2020,0.5,0.68,reclaimed_fired_clay_brick,Splits production burden equally between two service lives: ~125-175 kg CO2eq/t allocated to second life; with 350 kg/m2 wall mass = 44-61 kg CO2eq/m2 + mortar + transport. THIS ROW EXISTS TO SHOW THE 5x SWING - methodology wobble the installation must own. Not the default.,"{""base_method"": ""masonry"", ""extra_fields"": {""allocation_rule"": ""system-expansion (50-50)""}, ""primary"": false, ""raw_source"": ""De Wolf 2020 + Salmio & Huuhka 2026"", ""raw_unit"": ""kg CO2eq / m2 GFA"", ""source_keys"": [""de-wolf-2020"", ""salmio-huuhka-2026""], ""source_tier"": ""1"", ""variant"": ""system-expansion_(50-50)""}"
reclaimed_brick,overlay,construction_phase_view,structure,,,labor_hours_per_m2,2.5,6.5,hours,hours_per_m2,salmio-huuhka-2026,0.5,0.68,reclaimed_fired_clay_brick,Reclaimed-brick laying: cleaning + sorting ~4 labour-h/tonne (Salmio & Huuhka 2026); 350 kg/m2 wall = 1.4h cleaning; plus laying 1.5-4 h/m2 for hand-fitted variable-dimension brick vs 0.8-1.2 h/m2 for new uniform brick (BEDEC baseline) - 2-4x the labour of new brick,"{""base_method"": ""masonry"", ""primary"": true, ""raw_source"": ""Salmio & Huuhka 2026 + BEDEC 2026 (proxy)"", ""raw_unit"": ""h / m2"", ""source_keys"": [""salmio-huuhka-2026"", ""bedec-2026-proxy""], ""source_tier"": ""1""}"
reclaimed_brick,overlay,construction_phase_view,structure,,,time_days,14,35,days,calendar_days,brutting-2020,0.5,0.68,reclaimed_fired_clay_brick,For ~100m2 GFA single-storey reference building; structural reclaimed-brick walls take 2-5 weeks; stock-matching design step (Brutting 2020) adds upfront design days not counted in laying,"{""base_method"": ""masonry"", ""primary"": true, ""raw_source"": ""Brutting 2020 + IAAC Mat Mining"", ""raw_unit"": ""calendar days"", ""source_keys"": [""brutting-2020"", ""iaac-mat-mining""], ""source_tier"": ""1""}"
reclaimed_brick,overlay,construction_phase_view,structure,,,cost_eur_per_m2,95,220,EUR,eur_per_m2,restado-2026,0.5,0.68,reclaimed_fired_clay_brick,Reclaimed-brick price proxy: UK/DE wholesale EUR0.50-1.50/brick * ~50 bricks/m2 = EUR25-75 material; labour EUR25-35/h * 3-6h = EUR75-210; mortar + sundries EUR15-25; CATALONIA DATA ABSENT - EU proxy; lower than new-brick in some cases due to free upstream brick; higher when stock-matching design fees included,"{""base_method"": ""masonry"", ""primary"": true, ""raw_source"": ""Restado 2026 + Concular 2026 (cost proxy)"", ""raw_unit"": ""EUR / m2"", ""source_keys"": [""restado-2026"", ""concular-2026-cost-proxy""], ""source_tier"": ""2""}"
