phase,parameter,value_low,value_high,unit,assumption,source,source_tier,sub_method
A1-A3,embodied_carbon,280,569,kg CO2eq / m2 GFA,High-rise concrete MiC structural+envelope; Hong Kong typology transferable to EU with caveat; no biogenic relevance,Wei 2024; Pan & Hon 2012,1,modular_concrete
A1-A3,embodied_carbon_spread,105,864,kg CO2eq / m2 GFA,Full literature spread for concrete-modular cases; structural choice + module size dominate variance,Wei 2024,1,modular_concrete
A1-A3,embodied_carbon_with_biogenic,130,220,kg CO2eq / m2 GFA,CLT mid-rise residential with EN 15804+A2 GWP-bio applied; carbon storage credited; A1-A3 only,Andersen 2022; Hemmati 2024; Stora Enso EPD,1,clt
A1-A3,embodied_carbon_no_biogenic,220,350,kg CO2eq / m2 GFA,Same buildings with biogenic credit stripped; fossil-only A1-A3; the methodology-wobble swing - ~30% difference,Andersen 2022; Liu 2021,1,clt
A1-A3,clt_panel_gwp_fossil,50,75,kg CO2eq / m3 panel,Per m3 CLT A1-A3 GWP-fossil only Austrian production; KLH/Stora Enso/Binderholz triangulated,KLH EPD; Stora Enso EPD; Binderholz EPD,1,clt
A1-A3,clt_panel_biogenic_storage,-762,-700,kg CO2eq / m3 panel,Biogenic carbon stored in panel; sign reverses at EoL if incinerated - stays negative if reused or landfilled,Stora Enso EPD; KLH EPD,1,clt
A1-A3,material_origin,NA,NA,qualitative,Modular concrete: Hong Kong/UK/NL dominate literature; Spain has emerging fabricators (Moodul Castelldefels; Modular Home Valencia) but no published EPDs. GEOGRAPHIC GAP.,Moodul (vendor),3,modular_concrete
A1-A3,material_origin,NA,NA,qualitative,CLT: Austria (KLH Stora Enso Binderholz) Sweden (Stora Enso Martinsons) Czech Republic. No Iberian CLT mill at scale as of 2026. Barcelona A4 distance ~1800-2200km road.,KLH EPD; Stora Enso EPD,1,clt
A1-A3,cost,600,1200,EUR / m2,Material-stage shell only modular concrete; Spain reference; excludes land permits foundations,Moodul (vendor),3,modular_concrete
A1-A3,cost,700,1100,EUR / m2,CLT panel material cost only ex-works Austrian mill before transport; EUR350-550/m3 * ~2m3/m2 GFA equivalent,Stora Enso EPD; vendor sibling,2,clt
A1-A3,labour_factory,4,12,h / m2 GFA,Factory hours per m2 finished GFA; modular concrete Hong Kong/European industry data; rises with finishes-included scope,Pan & Hon 2012; industry data,2,modular_concrete
A1-A3,labour_factory,2,6,h / m2 GFA,CLT panel CNC + lay-up + pressing; lower than modular concrete because CLT is element-based not volumetric,Stora Enso EPD; vendor sibling,2,clt
A1-A3,factory_lead_time,60,120,calendar days,From order to factory-completion of modules for mid-rise; concurrent with site prep,Pan & Hon 2012; industry data,2,modular_concrete
A1-A3,factory_lead_time,30,90,calendar days,Order-to-delivery for CLT panel package from Austrian mill; mid-rise residential,KLH EPD; Stora Enso EPD,2,clt
