method,data_model,display_mode,phase,lifecycle_stage,sub_method,metric,value_low,value_high,unit,basis,source_key,confidence_min,confidence_max,selected_material,notes,metadata
3d_printed,phase_based,construction_phase_view,foundation,,,co2_kg_per_m2,25,60,kg CO2eq,per_m2_gfa,en-15804,0.4,0.6,printed_concrete_or_earth_proxy,Conventional RC slab - 3DP houses do NOT print foundations; lower = GGBS-blended cement; upper = thick footing + 100% OPC; borrowed from masonry strand 01,"{""primary"": true, ""raw_source"": ""EN 15804 + masonry strand 01"", ""raw_unit"": ""kg CO2eq / m2 GFA"", ""source_keys"": [""en-15804"", ""masonry-strand-01""], ""source_tier"": ""2""}"
3d_printed,phase_based,construction_phase_view,foundation,,,labor_hours_per_m2,1.5,3.5,hours,hours_per_m2_gfa,masonry-strand-01,0.4,0.6,printed_concrete_or_earth_proxy,Conventional rebar + form + pour; no 3DP-specific deviation,"{""primary"": true, ""raw_source"": ""masonry strand 01"", ""raw_unit"": ""h / m2 GFA"", ""source_keys"": [""masonry-strand-01""], ""source_tier"": ""2""}"
3d_printed,phase_based,construction_phase_view,foundation,,,time_days,3,7,days,calendar_days,masonry-strand-01,0.4,0.6,printed_concrete_or_earth_proxy,Form + pour + cure; conventional; overlaps with structure print prep,"{""primary"": true, ""raw_source"": ""masonry strand 01"", ""raw_unit"": ""calendar days"", ""source_keys"": [""masonry-strand-01""], ""source_tier"": ""2""}"
3d_printed,phase_based,construction_phase_view,foundation,,,cost_eur_per_m2,80,180,EUR,eur_per_m2_gfa,masonry-strand-01,0.4,0.6,printed_concrete_or_earth_proxy,Catalonia 2025 reinforced slab; range reflects ground conditions; not 3DP-specific,"{""primary"": true, ""raw_source"": ""masonry strand 01"", ""raw_unit"": ""EUR / m2 GFA"", ""source_keys"": [""masonry-strand-01""], ""source_tier"": ""2""}"
3d_printed,phase_based,construction_phase_view,foundation,,,material_origin,null,null,label,qualitative_label,masonry-strand-01,0.4,0.6,printed_concrete_or_earth_proxy,Aggregates <100km (Catalan quarries); cement Spanish/EU; rebar Spanish/EU; no 3DP-specific deviation,"{""primary"": true, ""raw_source"": ""masonry strand 01"", ""raw_unit"": ""qualitative"", ""source_keys"": [""masonry-strand-01""], ""source_tier"": ""2""}"
3d_printed,phase_based,construction_phase_view,structure,,,co2_kg_per_m2,44,90,kg CO2eq,per_m2_wall,mohammad-2020,0.4,0.6,printed_concrete_or_earth_proxy,T1 anchor: Mohammad 2020 - 44.42 (lightweight unreinforced 3DCP) to 58.89 (conventional concrete) kg CO2eq/m2 wall A1-A3; upper 90 = reinforced 3DCP where rebar pushes GWP ABOVE conventional; cement-content wobble: low = geopolymer/LC3 high = 30% OPC printable mix. WALL UNIT not GFA - multiply by 0.6-0.8 wall:GFA ratio for GFA comparison,"{""primary"": true, ""raw_source"": ""Mohammad 2020"", ""raw_unit"": ""kg CO2eq / m2 wall"", ""source_keys"": [""mohammad-2020""], ""source_tier"": ""1""}"
3d_printed,phase_based,construction_phase_view,structure,,,co2_kg_per_m2_material,250,450,kg CO2eq,per_m3,motalebi-2024-review,0.4,0.6,printed_concrete_or_earth_proxy,Material-level range: ~250 (LC3/calcined clay) to ~450 (high-OPC self-leveling); convert via wall thickness 0.30m = 75-135 kg CO2eq/m2 wall,"{""primary"": false, ""raw_source"": ""Motalebi 2024 review"", ""raw_unit"": ""kg CO2eq / m3 printable concrete"", ""source_keys"": [""motalebi-2024-review""], ""source_tier"": ""1"", ""variant"": ""material_level_proxy""}"
3d_printed,phase_based,construction_phase_view,structure,,,co2_kg_per_m2,58,147,kg CO2eq,per_m2_gfa,rossi-2024,0.4,0.6,printed_concrete_or_earth_proxy,Whole-house comparison: Rossi 2024 reports 3DP houses avg 58 vs conventional 147; CAVEATS: small sample n=4 vs n=10; heterogeneous climate/insulation; no normalization - use as sanity check ONLY,"{""primary"": true, ""raw_source"": ""Rossi 2024"", ""raw_unit"": ""kg CO2eq / m2 GFA"", ""source_keys"": [""rossi-2024""], ""source_tier"": ""1""}"
3d_printed,phase_based,construction_phase_view,structure,,,co2_kg_per_m2_earth,12,25,kg CO2eq,per_m2_wall,alhumayani-2020,0.4,0.6,printed_concrete_or_earth_proxy,3D-PRINTED EARTH (cob/clay): Alhumayani 2020 reports ~80% reduction vs 3DPC for wall element A1-A4 foundation+roof+openings excluded; most defensible for Catalonia context (TOVA Collserola); printer electricity is dominant remaining contributor,"{""primary"": false, ""raw_source"": ""Alhumayani 2020"", ""raw_unit"": ""kg CO2eq / m2 wall"", ""source_keys"": [""alhumayani-2020""], ""source_tier"": ""1"", ""variant"": ""earth_proxy""}"
3d_printed,phase_based,construction_phase_view,structure,,,co2_kg_per_m2_catalan,null,null,kg CO2eq,per_m2_gfa,unknown_import,0.4,0.6,printed_concrete_or_earth_proxy,GEOGRAPHIC GAP: no published LCA for TOVA TerraPerforma or any Catalan 3DP project. Catalan figures do not exist. Flag mandatory in projection.,"{""primary"": false, ""raw_source"": null, ""raw_unit"": ""kg CO2eq / m2 GFA"", ""source_keys"": [""unknown_import""], ""source_tier"": ""missing"", ""variant"": ""catalonia_gap""}"
3d_printed,phase_based,construction_phase_view,structure,,,printer_electricity_per_m2,1,12,kg CO2eq,per_m2_wall,mohammad-2020,0.4,0.6,printed_concrete_or_earth_proxy,Electricity-only contribution; <5% of total in most LCAs (Mohammad 2020; Motalebi 2024); TECLA = 1200 kWh / 60m2 = 20 kWh/m2 GFA = ~6 kg CO2eq/m2 at EU grid; cob 3DP electricity share HIGHER as fraction because cement excluded,"{""primary"": true, ""raw_source"": ""Mohammad 2020 + WASP TECLA"", ""raw_unit"": ""kg CO2eq / m2 wall"", ""source_keys"": [""mohammad-2020"", ""iaac-tova-wasp-tecla""], ""source_tier"": ""1""}"
3d_printed,phase_based,construction_phase_view,structure,,,labor_hours_per_m2,0.3,1.2,hours,hours_per_m2_wall,allouzi-2020,0.4,0.6,printed_concrete_or_earth_proxy,Vendor + T1: 2-operator print of 500m2 (La Tour) in 150h = 0.3 h/m2 wall; CyBe ~6 min/m2 print + supervision; upper = setup/teardown amortized over small projects,"{""primary"": true, ""raw_source"": ""Allouzi 2020 + CyBe (T3 sibling)"", ""raw_unit"": ""h / m2 wall"", ""source_keys"": [""allouzi-2020"", ""cybe-cobod-vendor""], ""source_tier"": ""1""}"
3d_printed,phase_based,construction_phase_view,structure,,,labor_hours_per_m2_vendor,0.1,0.5,hours,hours_per_m2_wall,cybe-cobod-vendor,0.4,0.6,printed_concrete_or_earth_proxy,VENDOR CLAIM: CyBe + COBOD ~6 min/m2 active print 2 operators; excludes setup mix-prep post-processing; confirms direction not magnitude,"{""primary"": false, ""raw_source"": ""CyBe / COBOD (vendor)"", ""raw_unit"": ""h / m2 wall"", ""source_keys"": [""cybe-cobod-vendor""], ""source_tier"": ""3"", ""variant"": ""vendor_sibling""}"
3d_printed,phase_based,construction_phase_view,structure,,,time_days,1,7,days,calendar_days,wikipedia-tecla,0.4,0.6,printed_concrete_or_earth_proxy,T1+T3: ICON Wolf Ranch days; TECLA 60m2 = 200h print = ~8 days; ICON 230m2 = ~18h pure print; setup/teardown adds; range = small dwelling 3DP-only print; EXCLUDES foundation cure + conventional roof/openings,"{""primary"": true, ""raw_source"": ""Wikipedia TECLA + ICON press + Mohammad 2020"", ""raw_unit"": ""calendar days"", ""source_keys"": [""wikipedia-tecla"", ""wikipedia-tecla"", ""mohammad-2020""], ""source_tier"": ""1""}"
3d_printed,phase_based,construction_phase_view,structure,,,time_days_vendor,1,4,days,calendar_days,apis-cor,0.4,0.6,printed_concrete_or_earth_proxy,"VENDOR CLAIM: ICON/Apis Cor ""house in 24 hours"" = printing-only shell wall NOT including foundation roof finishing","{""primary"": false, ""raw_source"": ""Apis Cor + ICON (vendor)"", ""raw_unit"": ""calendar days"", ""source_keys"": [""apis-cor"", ""apis-cor""], ""source_tier"": ""3"", ""variant"": ""vendor_sibling""}"
3d_printed,phase_based,construction_phase_view,structure,,,cost_eur_per_m2,200,600,EUR,eur_per_m2_wall,allouzi-2020,0.4,0.6,printed_concrete_or_earth_proxy,Vendor + T1: Apis Cor 2017 ~250 EUR/m2 shell only (Russian context); Allouzi 2020 material cost reduction in Jordan; upper = EU labour + EU printable-mix premium; EXCLUDES rebar where added,"{""primary"": true, ""raw_source"": ""Allouzi 2020 + Apis Cor (T3 sibling)"", ""raw_unit"": ""EUR / m2 wall"", ""source_keys"": [""allouzi-2020"", ""apis-cor""], ""source_tier"": ""1""}"
3d_printed,phase_based,construction_phase_view,structure,,,cost_eur_per_m2_vendor,200,400,EUR,eur_per_m2_wall,apis-cor,0.4,0.6,printed_concrete_or_earth_proxy,VENDOR CLAIM: Apis Cor + COBOD/PERI; PERI Heidelberg reported ~10% cost reduction vs conventional; lower-bound figures are demonstrator-context,"{""primary"": false, ""raw_source"": ""Apis Cor + COBOD (vendor)"", ""raw_unit"": ""EUR / m2 wall"", ""source_keys"": [""apis-cor"", ""cybe-cobod-vendor""], ""source_tier"": ""3"", ""variant"": ""vendor_sibling""}"
3d_printed,phase_based,construction_phase_view,structure,,,material_origin,null,null,label,qualitative_label,iaac-tova,0.4,0.6,printed_concrete_or_earth_proxy,3DPC: cement Spanish/EU; aggregates Catalan <100km; admixtures EU. 3DP-earth: earth WITHIN 50m of site (TOVA verified); fibre stabilizers local (rice husk TECLA; aloe/egg TOVA). Earth is strongest material-origin argument for Catalonia.,"{""primary"": true, ""raw_source"": ""IAAC TOVA + WASP TECLA"", ""raw_unit"": ""qualitative"", ""source_keys"": [""iaac-tova"", ""iaac-tova-wasp-tecla""], ""source_tier"": ""3""}"
